Name,Link,Distributer,Developer,Release Date,Also On,Summary,Metascore,Meta Status,# of Critic Reviews,Critic Positive,Critic Mixed,Critic Negative,Userscore,Userscore Status,# of User Reviews,User Positive,User Mixed,User Negative,Genres,# Of Players,Rating,Awards
mass-effect-2,https://www.metacritic.com/game/pc/mass-effect-2,Electronic Arts,BioWare,26-Jan-10,"PlayStation 3, Xbox 360","The Mass Effect trilogy is a science fiction adventure set in a vast universe filled with dangerous alien life forms and mysterious uncharted planets. In this dark second chapter, Saren＊s evil army of Geth soldiers has just been defeated, and humans, who are still struggling to make their mark on the galactic stage, are now faced with an even greater peril. [BioWare] Collapse",94,universal acclaim,55,54,1,0,8.9,generally favorable reviews,5604,606,109,45,"Role-Playing, Action RPG, Action RPG",No Online Multiplayer,M,"#1 Best PC Game of 2010
#3 Most Discussed PC Game of 2010
#4 Most Shared PC Game of 2010"
grand-theft-auto-vice-city,https://www.metacritic.com/game/pc/grand-theft-auto-vice-city,Rockstar Games,Rockstar North,12-May-03,"PlayStation 2, PlayStation 3, PlayStation 4","[Metacritic's 2003 PC Game of the Year] The PC version has enhanced features including improved graphics and sound, additional PC controls, as well as several options for players to customize the game. ""Welcome to Vice City. Welcome to the 1980s."" Having just made it back onto the streets of Liberty City after a long stretch in maximum security, Tommy Vercetti is sent to Vice City by his old boss, Sonny Forelli. They were understandably nervous about his re-appearance in Liberty City, so a trip down south seemed like a good idea. But all does not go smoothly upon his arrival in the glamorous, hedonistic metropolis of Vice City. He's set up and is left with no money and no merchandise. Sonny wants his money back, but the biker gangs, Cuban gangsters, and corrupt politicians stand in his way. Most of Vice City seems to want Tommy dead. His only answer is to fight back and take over the city himself. Vice City offers vehicular pleasures to suit every taste. For the speed enthusiast, there's high-performance cars and motorbikes. For the sportsman, a powerboat or a golf buggy lets you enjoy the great outdoors. For those that need that sense of freedom and escape, why not charter a helicopter and see the beauty of Vice City from the air? [Rockstar] Collapse",94,universal acclaim,30,30,0,0,8.7,generally favorable reviews,3161,245,37,11,"Action Adventure, Modern, Modern, Open-World",No Online Multiplayer,M,"#1 Best PC Game of 2003
#2 Most Discussed PC Game of 2003
#1 Most Shared PC Game of 2003"
sid-meiers-civilization-ii,https://www.metacritic.com/game/pc/sid-meiers-civilization-ii,MicroProse,MPS Labs,29-Feb-96,,"An empire-building turn-based strategy game. The game starts at the Old Stone Age in 4000 BC. Your tribe begins with a Settlers unit and has no knowledge about the surrounding area. As you found new cities and explore the surroundings, you may find hostile barbarians, villages, and other competing cultures. [Civ Fantatics' Center] Collapse",94,universal acclaim,7,7,0,0,8.7,generally favorable reviews,504,54,0,1,"Strategy, Turn-Based, Historic, General, Historic, 4X",1,K-A,"#1 Best PC Game of 1996
#4 Most Discussed PC Game of 1996
#2 Most Shared PC Game of 1996"
quake,https://www.metacritic.com/game/pc/quake,id Software,id Software,22-Jun-96,,"Rage through 32 single player levels and 6 deathmatch levels of sheer terror and fully immersive sound and lighting. Arm yourself against the cannibalistic Ogre, fiendish Vore and indestructible Schambler using letal nails, fierce Thunderbolts and abominable Rocket and Grenade Launchers. [id Software] Collapse",94,universal acclaim,9,9,0,0,8.7,generally favorable reviews,996,117,9,3,"Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade",116,M,"#2 Best PC Game of 1996
#2 Most Discussed PC Game of 1996
#3 Most Shared PC Game of 1996"
bioshock-infinite,https://www.metacritic.com/game/pc/bioshock-infinite,2K Games,Irrational Games,25-Mar-13,"PlayStation 3, Xbox 360","Initially conceived as a floating symbol of American ideals at a time when the United States was emerging as a world power, Columbia is sent to distant shores with great fanfare by a captivated public. What begins as a fresh new endeavor of hope turns drastically wrong as the city soon disappears into the clouds to whereabouts unknown. The player takes on the role of former Pinkerton agent Booker DeWitt, sent to the lost city to rescue Elizabeth, a young lady imprisoned there since her childhood. He develops a relationship with Elizabeth, enhancing his abilities with hers so the pair may escape from a city that is literally falling from the sky. DeWitt has to learn to fight foes in high-speed Sky-Line battles, engage in combat both indoors and amongst the clouds, and harness the power of a myriad of new weapons and abilities.
Collapse",94,universal acclaim,68,68,0,0,8.6,generally favorable reviews,9726,1313,342,167,"Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade",No Online Multiplayer,M,"#1 Best PC Game of 2013
#3 Most Discussed PC Game of 2013
#7 Most Shared PC Game of 2013"
the-elder-scrolls-iv-oblivion,https://www.metacritic.com/game/pc/the-elder-scrolls-iv-oblivion,2K Games,"Bethesda Softworks, Bethesda Game Studios",20-Mar-06,"PlayStation 3, Xbox 360","Oblivion is a single-player game that takes place in Tamriel's capital province, Cyrodiil. You are given the task of finding the hidden heir to a throne that sits empty, the previous emperor having been killed by an unknown assassin. With no true Emperor, the gates to Oblivion (the equivalent of hell in the world of Tamriel) open, and demons begin to invade Cyrodiil and attack its people and towns. It's up to you to find the lost heir to the throne and unravel the sinister plot that threatens to destroy all of Tamriel. In keeping with the Elder Scrolls tradition, players have the option to experience the main quest at their own pace, and there are plenty of opportunities to explore the vast world and make your own way. Numerous factions can be joined, such as the thieves or mages guilds, and each contains its own complete storyline and the chance to rise to the head of the faction and reap further rewards. Oblivion features a groundbreaking new AI system, called Radiant AI, which gives non-player characters (NPCs) the ability to make their own choices based on the world around them. They decide where to eat or who to talk to and what they say. They sleep, go to church, and even steal items, all based on their individual characteristics. Full facial animations and lip-synching, combined with full speech for all dialog, allows NPCs to come to life like never before. [Bethesda] Collapse",94,universal acclaim,54,54,0,0,8.3,generally favorable reviews,3751,461,91,88,"Role-Playing, First-Person, First-Person, Western-Style",No Online Multiplayer,M,"#1 Best PC Game of 2006
#2 Most Discussed PC Game of 2006
#2 Most Shared PC Game of 2006"
elden-ring,https://www.metacritic.com/game/pc/elden-ring,Bandai Namco Games,From Software,25-Feb-22,"PlayStation 4, PlayStation 5, Xbox One, Xbox Series X","A New World Created By Hidetaka Miyazaki And George R. R. Martin. ELDEN RING, developed by FromSoftware, Inc. and BANDAI NAMCO Entertainment Inc., is a fantasy action-RPG adventure set within a world created by Hidetaka Miyazaki creator of the influential DARK SOULS video game series; and George R.R. Martin author of The New York Times best-selling fantasy series, A Song of Ice and Fire. Danger and discovery lurk around every corner in FromSoftware's largest game to-date. Hidetaka Miyazaki, President and Game Director of FromSoftware Inc. Known for directing critically-acclaimed games in beloved franchises including Armored Core, Dark Souls, and Sekiro: Shadows Die Twice. George R.R. Martin is the #1 New York Times bestselling author of many novels, including the acclaimed series A Song of Ice and Fire - A Game of Thrones, A Clash of Kings, A Storm of Swords, A Feast For Crows, and A Dance with Dragons. As a writer-producer, he has worked on The Twilight Zone, Beauty and the Beast, and various feature films and pilots that were never made. Collapse",94,universal acclaim,60,57,3,0,7,mixed or average reviews,5221,1203,173,598,"Role-Playing, Action RPG",4,M,"#2 Best PC Game of 2022
#2 Most Discussed PC Game of 2022"
grim-fandango,https://www.metacritic.com/game/pc/grim-fandango,LucasArts,LucasArts,14-Oct-98,,"Something's rotten in the Land of Dead and you're being played for a sucker. Meet Manny Calavera, travel agent at the Department of Death. He sells luxury packages to souls on their four-year journey to eternal rest. But there's trouble in paradise. Help Manny untangle himself from a conspiracy that threatens his very salvation. [LucasArts] Collapse",94,universal acclaim,15,15,0,0,9,universal acclaim,787,83,2,1,"Adventure, General, General, 3D, Third-Person, Fantasy",No Online Multiplayer,T,"#2 Best PC Game of 1998
#4 Most Discussed PC Game of 1998
#3 Most Shared PC Game of 1998"
diablo,https://www.metacritic.com/game/pc/diablo,Blizzard Entertainment,Blizzard Entertainment,31-Dec-96,,"The kingdom of Khandaras has fallen into chaos. An unknown force of evil has swept across the land. Plunging it nto civil war and terrorizing the populace. A mad king, his missing son, and a mysterious archbishop are all pieces to the puzzle that faces you. You have journeyed to the source of the evil. The town of Tristram. Now inhabited by only a handful of survivors. The catherdal there is buildt over the ruins of an ancient monastary, and now eerie lights and sounds are heard echoing through its abandoned halls. Perhaps the answer lies withing the remains of a forgotten past... Diablo invites you to enter a world of dark gothic fantasy. Play as a brave warrior, cunning rogue or mysterious sorceror. As you venture deeper into the labyrinth, you'll discover weapons, armor, and magical treasures, and develop your character's skills and abilities. [Blizzard] Collapse",94,universal acclaim,12,12,0,0,8.6,generally favorable reviews,1352,116,13,10,"Role-Playing, Action RPG, Action RPG",4,M,"#3 Best PC Game of 1996
#1 Most Discussed PC Game of 1996
#1 Most Shared PC Game of 1996"
sid-meiers-civilization-iv,https://www.metacritic.com/game/pc/sid-meiers-civilization-iv,2K Games,Firaxis Games,25-Oct-05,,"Faster-Paced Fun - Gameplay has been streamlined for a tighter, faster, and more compelling experience.Greater Accessibility and Ease of Play - An easy-to-use interface will be immediately familiar to RTS and action game players, and newcomers to the series will be able to jump in and play. Tech Tree - Flexible Tech tree allows players more strategic choices for developing their civilizations along unique paths. More Civs, Units, and Improvements to enhance and grow your empire. Multiplayer -LAN, Internet, PBEM, and Persistent Turn-Based Server (PTBS) offer players all-new strategies and ways to play when competing or cooperating with live opponents. Team Play - Whether playing multiplayer or single player, team play offers a new way of setting locked alliances that result in shared wonder effects, visibility, unit trading, and shared territory that delivers a plethora of new strategic and tactical options. Civ IV comes to life! - Beautiful 3D world with dozens of fully animated units (including culturally unique units), and totally customizable armies. Cities and wonders will appear on the map. Wonder movies are back! [2K Games] Collapse",94,universal acclaim,50,50,0,0,8.2,generally favorable reviews,1161,132,30,43,"Strategy, Turn-Based, Historic, Historic, 4X",,E10+,"#1 Best PC Game of 2005
#7 Most Discussed PC Game of 2005
#8 Most Shared PC Game of 2005"
the-witcher-3-wild-hunt,https://www.metacritic.com/game/pc/the-witcher-3-wild-hunt,Warner Bros. Interactive Entertainment,CD Projekt Red Studio,18-May-15,"PlayStation 4, Switch, Xbox One","With the Empire attacking the Kingdoms of the North and the Wild Hunt, a cavalcade of ghastly riders, breathing down your neck, the only way to survive is to fight back. As Geralt of Rivia, a master swordsman and monster hunter, leave none of your enemies standing. Explore a gigantic open world, slay beasts and decide the fates of whole communities with your actions, all in a genuine next generation format. Collapse",93,universal acclaim,32,32,0,0,9.1,universal acclaim,22464,2518,132,183,"Action RPG, Role-Playing, Action RPG",No Online Multiplayer,M,"#2 Best PC Game of 2015
#1 Most Discussed PC Game of 2015
#11 Most Shared PC Game of 2015"
company-of-heroes,https://www.metacritic.com/game/pc/company-of-heroes,THQ,"Relic, Relic Entertainment",13-Sep-06,iPhone/iPad,"A real-time strategy game set in World War II, Company of Heroes brings to life, in full cinematic detail, the greatest war mankind has ever known. Company of Heroes is built on Relic's next-generation Essence Engine and also utilizes the Havok Physics engine, delivering cinematic visual detail in a world completely driven by realistic physics. Gamers will experience the journey of the brave men of Able Company in a deep single-player campaign that begins with the invasion of Normandy through their fight across Europe, all set against the most dynamic battlefield ever seen in a game. Company of Heroes' completely destructable environment means no two battles ever play out in the same way. Advanced squad AI delivers startling new realism and responsiveness, bringing soldiers to life as they interact with the environment and execute advanced squad tactics to eliminate the opposition forces. [THQ] Collapse",93,universal acclaim,55,55,0,0,8.7,generally favorable reviews,1455,245,40,21,"Strategy, Real-Time, Historic, General, Historic",8,M,"#2 Best PC Game of 2006
#5 Most Discussed PC Game of 2006
#1 Most Shared PC Game of 2006"
dwarf-fortress,https://www.metacritic.com/game/pc/dwarf-fortress,Bay 12 Games,Bay 12 Games,6-Dec-22,,"The deepest, most intricate simulation of a world that's ever been created. The legendary Dwarf Fortress is now on Steam. Build a fortress and try to help your dwarves survive against a deeply generated world.",93,universal acclaim,9,9,0,0,8.5,generally favorable reviews,205,63,5,6,"Turn-Based, Fantasy, General, Simulation, Strategy, General, Management, Government",No Online Multiplayer,,"#3 Best PC Game of 2022
#33 Most Discussed PC Game of 2022
#1 Most Shared PC Game of 2022"
half-life-alyx,https://www.metacritic.com/game/pc/half-life-alyx,Valve Software,Valve Software,23-Mar-20,,"Half-Life: Alyx is Valve's VR return to the Half-Life series. It's the story of an impossible fight against a vicious alien race known as the Combine, set between the events of Half-Life and Half-Life 2. Playing as Alyx Vance, you are humanity's only chance for survival. The Combine's control of the planet since the Black Mesa incident has only strengthened as they corral the remaining population in cities. Among them are some of Earth's greatest scientists: you and your father, Dr. Eli Vance. As founders of a fledgling resistance, you've continued your clandestine scientific activityperforming critical research, and building invaluable tools for the few humans brave enough to defy the Combine. Every day, you learn more about your enemy, and every day you work toward finding a weakness.

ABOUT GAMEPLAY IN VR:

Valve's return to the Half-Life universe that started it all was built from the ground up for virtual reality. VR was built to enable the gameplay that sits at the heart of Half-Life.

Immerse yourself in deep environmental interactions, puzzle solving, world exploration, and visceral combat.

Lean to aim around a broken wall and under a Barnacle to make an impossible shot. Rummage through shelves to find a healing syringe and some shotgun shells. Manipulate tools to hack alien interfaces. Toss a bottle through a window to distract an enemy. Rip a Headcrab off your face and throw it at a Combine soldier.

Extra content for Index owners
Customers who have purchased Valve Index hardware by the end of 2019 will have access to unique bonuses starting early next year:

* Explore environments from Half-Life: Alyx in your SteamVR Home space
* Alternate gun skins to embellish Alyx's arsenal
* Special Half-Life: Alyx-themed content for Counter-Strike: Global Offensive and Dota 2

Community-built environments

* A set of Source 2 tools for building new environments will ship with the game, enabling any player to build and contribute new environments for the community to enjoy. Hammer, Valve's level authoring tool, has been updated with all of the game's virtual reality gameplay tools and components. Collapse",93,universal acclaim,69,67,2,0,9.2,universal acclaim,2772,719,22,43,"Action, Shooter, First-Person, Arcade",No Online Multiplayer,,"#1 Best PC Game of 2020
#9 Most Discussed PC Game of 2020"
divinity-original-sin-ii,https://www.metacritic.com/game/pc/divinity-original-sin-ii,Larian Studios Games,Larian Studios Games,14-Sep-17,,"Master deep, tactical combat. Join up to 3 other players - but know that only one of you will have the chance to become a God.",93,universal acclaim,72,71,1,0,8.8,generally favorable reviews,2381,341,42,36,"Action RPG, Role-Playing, Western-Style",4,,"#1 Best PC Game of 2017
#8 Most Discussed PC Game of 2017
#2 Most Shared PC Game of 2017"
unreal-tournament-2004,https://www.metacritic.com/game/pc/unreal-tournament-2004,"Atari , Atari SA",Epic Games,16-Mar-04,,"Reload, rev up and ride out. The new Tournament is faster, higher and meaner. Land and air based vehicles take combat to a new level; while an arsenal of new weaponry, daunting arenas and battlefields and the challenge of the Assault and Onslaught modes make the gladiator blood sport of the future a brand new experience. Buckle up; it?s gonna be one hell of a ride! [Atari] Collapse",93,universal acclaim,48,48,0,0,8.8,generally favorable reviews,798,118,3,4,"Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade",132,M,"#2 Best PC Game of 2004
#10 Most Discussed PC Game of 2004
#25 Most Shared PC Game of 2004"
starcraft-ii-wings-of-liberty,https://www.metacritic.com/game/pc/starcraft-ii-wings-of-liberty,Blizzard Entertainment,Blizzard Entertainment,27-Jul-10,,"StarCraft II continues the epic saga of the Protoss, Terran, and Zerg. These three distinct and powerful races clash once again in the fast-paced real-time strategy sequel to the legendary original, StarCraft. Legions of veteran, upgraded, and brand-new unit types do battle across the galaxy, as each faction struggles for survival. Featuring a unique single-player campaign that picks up where StarCraft: Brood War left off, StarCraft II presents a cast of new heroes and familiar faces in an edgy sci-fi story filled with adventure and intrigue. In addition, Blizzard again offers unparalleled online play through Battle.net, the company's world-renowned gaming service, with several enhancements and new features to make StarCraft II the ultimate competitive real-time strategy game. Features fast-paced, hard-hitting, tightly balanced competitive real-time strategy gameplay that recaptures and improves on the magic of the original game. New units and gameplay mechanics further distinguish each race. Vibrant new 3D-graphics engine with support for dazzling visual effects and massive unit and army sizes. Full map-making and scripting tools to give players incredible freedom in customizing and personalizing their gameplay experience. [Blizzard] Collapse",93,universal acclaim,82,82,0,0,8.2,generally favorable reviews,3721,595,149,136,"Strategy, Real-Time, Sci-Fi, Command",4,T,"#2 Best PC Game of 2010
#2 Most Discussed PC Game of 2010
#5 Most Shared PC Game of 2010"
minecraft,https://www.metacritic.com/game/pc/minecraft,Mojang AB,Mojang AB,18-Nov-11,"3DS, PlayStation 3, PlayStation 4, PlayStation Vita, Switch, Wii U, Xbox 360, Xbox One","The game involves players creating and destroying various types of blocks in a three dimensional environment. The player takes an avatar that can destroy or create blocks, forming fantastic structures, creations and artwork across the various multiplayer servers in multiple game modes.",93,universal acclaim,33,33,0,0,8.1,generally favorable reviews,7688,1417,246,249,"Action Adventure, Adventure, 3D, Sandbox, First-Person, Fantasy, Fantasy",10,E10+,"#3 Best PC Game of 2011
#3 Most Discussed PC Game of 2011
#1 Most Shared PC Game of 2011"
red-dead-redemption-2,https://www.metacritic.com/game/pc/red-dead-redemption-2,Rockstar Games,Rockstar Games,5-Nov-19,"PlayStation 4, Stadia, Xbox One","
America, 1899. The end of the wild west era has begun as lawmen hunt down the last remaining outlaw gangs. Those who will not surrender or succumb are killed.

After a robbery goes badly wrong in the western town of Blackwater, Arthur Morgan and the Van der Linde gang are forced to flee. With federal agents and the best bounty hunters in the nation massing on their heels, the gang must rob, steal and fight their way across the rugged heartland of America in order to survive. As deepening internal divisions threaten to tear the gang apart, Arthur must make a choice between his own ideals and loyalty to the gang who raised him.

From the creators of Grand Theft Auto V and Red Dead Redemption, Red Dead Redemption 2 is an epic tale of life in America at the dawn of the modern age. Collapse",93,universal acclaim,44,44,0,0,6.6,mixed or average reviews,5325,935,107,840,"Action Adventure, Open-World",32,M,"#1 Best PC Game of 2019
#1 Most Discussed PC Game of 2019"
grand-theft-auto-iii,https://www.metacritic.com/game/pc/grand-theft-auto-iii,Rockstar Games,"DMA Design, Rockstar North",20-May-02,"PlayStation 2, PlayStation 4","The PC version features enhanced 3D audio. Environmentally scaled and referenced from the player's perspective. Create your own customizable Liberty City radio station, using the built-in mp3 player. State-of-the art visuals utilizing the latest PC hardware render the city more beautifully than ever in 32 bit color. The skinnable player character enables fans to create and upload their own skin textures and to use a scanned-in photo to play as themselves. [Rockstar] Collapse",93,universal acclaim,20,20,0,0,8.1,generally favorable reviews,1650,126,57,17,"Action Adventure, Modern, Modern, Open-World",No Online Multiplayer,M,"#1 Best PC Game of 2002
#4 Most Discussed PC Game of 2002
#3 Most Shared PC Game of 2002"
