Title,Original Price,Discounted Price,Release Date,Link,Game Description,Recent Reviews Summary,All Reviews Summary,Recent Reviews Number,All Reviews Number,Developer,Publisher,Supported Languages,Popular Tags,Game Features,Minimum Requirements
Halo: The Master Chief Collection,$18.49 ,$18.49 ,"3 Dec, 2019",https://store.steampowered.com/app/976730/Halo_The_Master_Chief_Collection/?snr=1_7_7_230_150_4,"The Master Chief＊s iconic journey includes six games, built for PC and collected in a single integrated experience. Whether you＊re a long-time fan or meeting Spartan 117 for the first time, The Master Chief Collection is the definitive Halo gaming experience.",Very Positive,Very Positive,"- 90% of the 1,682 user reviews in the last 30 days are positive.","- 92% of the 192,219 user reviews for this game are positive.","343 Industries, Splash Damage, Ruffian Games, Bungie, Saber Interactive",Xbox Game Studios,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Polish', 'Portuguese - Portugal', 'Russian', 'Simplified Chinese', 'Spanish - Latin America', 'Traditional Chinese']","['Great Soundtrack', 'FPS', 'Classic', 'Multiplayer', 'Sci-fi', 'Story Rich', 'Co-op', 'First-Person', 'Epic', 'Action', 'Shooter', 'Singleplayer', 'Aliens', 'Lore-Rich', 'Beautiful', 'Space', 'Atmospheric', 'Adventure', 'Horror', 'Online Co-Op']","['Single-player', 'Online PvP', 'LAN PvP', 'Online Co-op', 'LAN Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV']",Requires a 64-bit processor and operating system | OS: |  Windows 7 | Processor: |  AMD Phenom II X4 960T ; Intel i3550 | Graphics: |  AMD HD 6850 ; NVIDIA GeForce GTS 450 | DirectX: |  Version 11 | Network: |  Broadband Internet connection | Storage: |  43 GB available space | Additional Notes: |  Direct3D feature Level 11.1
Darkest Dungeon?,$12.49 ,$2.49 ,"19 Jan, 2016",https://store.steampowered.com/app/262060/Darkest_Dungeon/?snr=1_7_7_230_150_4,"Darkest Dungeon is a challenging gothic roguelike turn-based RPG about the psychological stresses of adventuring. Recruit, train, and lead a team of flawed heroes against unimaginable horrors, stress, disease, and the ever-encroaching dark. Can you keep your heroes together when all hope is lost?",Very Positive,Very Positive,- 94% of the 575 user reviews in the last 30 days are positive.,"- 91% of the 110,560 user reviews for this game are positive.",Red Hook Studios,Red Hook Studios,"['English', 'French', 'German', 'Spanish - Spain', 'Czech', 'Polish', 'Portuguese - Brazil', 'Russian', 'Italian', 'Simplified Chinese', 'Korean', 'Japanese']","['Turn-Based Combat', 'Dark Fantasy', 'Dungeon Crawler', 'Roguelike', 'RPG', 'Lovecraftian', 'Difficult', 'Turn-Based', 'Singleplayer', 'Perma Death', 'Strategy', 'Atmospheric', 'Dark', 'Indie', '2D', 'Roguelite', 'Horror', 'Gothic', 'Fantasy', 'Kickstarter']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Remote Play on Tablet']","OS: |  Windows XP | Memory: |  2 GB RAM | Graphics: |  Open GL 3.2+ Compliant | Storage: |  2 GB available space | Additional Notes: |  1080p, 16:9 recommended"
Evil West,$39.99 ,$19.99 ,"21 Nov, 2022",https://store.steampowered.com/app/1065310/Evil_West/?snr=1_7_7_230_150_4,"A dark menace consumes the Old West. In solo or coop, fight with style in visceral, explosive combat against bloodthirsty monstrosities. Eradicate the vampiric hordes with your lightning-fueled gauntlet and become a Wild West Superhero.",Mostly Positive,Mostly Positive,- 74% of the 177 user reviews in the last 30 days are positive.,"- 74% of the 4,420 user reviews for this game are positive.",Flying Wild Hog,Focus Entertainment,"['English', 'Polish', 'French', 'Italian', 'German', 'Spanish - Spain', 'Simplified Chinese', 'Traditional Chinese', 'Korean', 'Portuguese - Brazil', 'Russian', 'Czech']","[""Beat 'em up"", 'Action-Adventure', 'Western', 'Co-op', 'Third-Person Shooter', 'Character Action Game', 'Demons', 'Story Rich', 'Vampire', 'Action', 'Gore', 'Multiplayer', 'Singleplayer', 'Online Co-Op', 'Hack and Slash', 'Violent', 'Third Person', 'Shooter', 'RPG', 'Adventure']","['Single-player', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']","OS: |  Windows 10 (64 bits) | Processor: |  Intel Core i5-2500K (3.3 GHz) / AMD FX-6300 X6 (3.5 GHz) | Memory: |  8 GB RAM | Graphics: |  4 GB VRAM, GeForce GTX 750 Ti / Radeon RX 460 | Storage: |  40 GB available space | Additional Notes: |  30 FPS, 1920x1080 in medium"
Kenshi,$14.49 ,$14.49 ,"6 Dec, 2018",https://store.steampowered.com/app/233860/Kenshi/?snr=1_7_7_230_150_4,"A free-roaming squad based RPG. Focusing on open-ended sandbox gameplay features rather than a linear story. Be a trader, a thief, a rebel, a warlord, an adventurer, a farmer, a slave, or just food for the cannibals. Train your men up from puny victims to master warriors.",Overwhelmingly Positive,Overwhelmingly Positive,"- 96% of the 1,226 user reviews in the last 30 days are positive.","- 95% of the 61,674 user reviews for this game are positive.",Lo-Fi Games,Lo-Fi Games,"['English', 'Spanish - Spain', 'Portuguese - Brazil', 'Japanese', 'German', 'Russian', 'French', 'Simplified Chinese', 'Korean']","['Open World', 'Sandbox', 'RPG', 'Survival', 'Strategy', 'Building', 'Base Building', 'Post-apocalyptic', 'Singleplayer', 'Crafting', 'City Builder', 'Indie', 'Simulation', 'Adventure', 'Management', 'RTS', 'Ninja', 'Character Customization', 'Alternate History', 'Steampunk']","['Single-player', 'Steam Trading Cards', 'Steam Workshop', 'Includes level editor']",OS:64-bit Windows | Processor:Dual-core 64-bit | Memory:6 GB RAM | Graphics:Pixel shader 5.0 capable card | DirectX?:11 | Hard Drive:14GB HD space
World War Z,$16.49 ,$16.49 ,"21 Sep, 2021",https://store.steampowered.com/app/699130/World_War_Z/?snr=1_7_7_230_150_4,"World War Z is a heart-pounding coop third-person shooter for up to 4 players featuring massive swarms of hundreds of zombies, focused on fast-paced, gruesomely spectacular action.",Very Positive,Very Positive,- 80% of the 663 user reviews in the last 30 days are positive.,"- 83% of the 11,581 user reviews for this game are positive.",Saber Interactive Inc,Saber Interactive Inc,"['English', 'Russian', 'Spanish - Spain', 'Traditional Chinese', 'French', 'Italian', 'German', 'Korean', 'Polish', 'Portuguese - Brazil', 'Simplified Chinese']","['Zombies', 'Multiplayer', 'Online Co-Op', 'Action', 'Co-op', 'Singleplayer', 'Shooter', 'Third-Person Shooter', 'FPS', 'PvE', 'Gun Customization', 'Survival Horror', 'Character Customization', 'Post-apocalyptic', 'Gore', 'First-Person', 'Violent', 'Combat', 'Third Person', 'Class-Based']","['Single-player', 'Online PvP', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Cloud']",Requires a 64-bit processor and operating system | OS: |  Windows 7 | Processor: |  AMD A10-5700 / Intel Core i3-3220 | Memory: |  8 GB RAM | Graphics: |  AMD R7-240 / GForce 650Ti / Intel 630 | DirectX: |  Version 11 | Network: |  Broadband Internet connection | Storage: |  50 GB available space | Sound Card: |  Yes
The Forest,$10.49 ,$10.49 ,"30 Apr, 2018",https://store.steampowered.com/app/242760/The_Forest/?snr=1_7_7_230_150_4,"As the lone survivor of a passenger jet crash, you find yourself in a mysterious forest battling to stay alive against a society of cannibalistic mutants. Build, explore, survive in this terrifying first person survival horror simulator.",Overwhelmingly Positive,Overwhelmingly Positive,"- 95% of the 2,983 user reviews in the last 30 days are positive.","- 95% of the 414,785 user reviews for this game are positive.",Endnight Games Ltd,Endnight Games Ltd,"['English', 'French', 'German', 'Czech', 'Finnish', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Swedish', 'Traditional Chinese', 'Turkish', 'Italian', 'Spanish - Spain']","['Open World Survival Craft', 'Survival', 'Open World', 'Horror', 'Crafting', 'Adventure', 'Building', 'Survival Horror', 'First-Person', 'Action', 'Exploration', 'Sandbox', 'Atmospheric', 'Singleplayer', 'Simulation', 'Gore', 'Realistic', 'Indie', 'Early Access', 'Zombies']","['Single-player', 'Online Co-op', 'LAN Co-op', 'Tracked Controller Support', 'VR Supported', 'Partial Controller Support', 'Steam Cloud']",OS: |  Windows 7 | Processor: |  Intel Dual-Core 2.4 GHz | Memory: |  4 GB RAM | Graphics: |  NVIDIA GeForce 8800GT | DirectX: |  Version 9.0 | Storage: |  5 GB available space | Sound Card: |  DirectX?-compatible | VR Support: |  SteamVR or Oculus PC | Additional Notes: |  32bit windows users need to ensure they have at least 4gb of ram usable on their system.
Gord,$24.49 ,$24.49 ,"8 Aug, 2023",https://store.steampowered.com/app/1351210/Gord/?snr=1_7_7_230_150_4,"Gord is a single-player adventure strategy. To survive, you must build, but to prevail, you must conquer the darkness beyond the gates. In this dark fantasy world, you must complete quests while managing a populace whose personal stories and well-being decide the fate of your tribe.",Mixed,,- 46% of the 130 user reviews for this game are positive.,,Covenant.dev,Team17,"['English', 'French', 'German', 'Spanish - Spain', 'Simplified Chinese', 'Polish', 'Russian', 'Italian', 'Japanese', 'Korean', 'Traditional Chinese', 'Spanish - Latin America']","['Strategy', 'Colony Sim', 'Survival', 'RTS', 'Action-Adventure', 'Dark Fantasy', 'Atmospheric', 'City Builder', 'Action RTS', 'Resource Management', 'Real-Time', 'Singleplayer', 'Moddable', 'Procedural Generation', 'Indie', 'Magic', 'Isometric', 'Mythology', 'Lore-Rich', 'Choices Matter']","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']","Requires a 64-bit processor and operating system | OS: |  Windows 10?64-bit | Processor: |  Intel Core i5-6600 or AMD Ryzen 5 1600? | Memory: |  8 GB RAM | Graphics: |  NVIDIA GeForce GTX 960, 4 GB or AMD Radeon R9 380, 4 GB | DirectX: |  Version 11 | Storage: |  20 GB available space | Additional Notes: |  1080p @ 30 FPS"
Call of Duty?: Modern Warfare?,$59.99 ,$59.99 ,"8 Mar, 2023",https://store.steampowered.com/app/2000950/Call_of_Duty_Modern_Warfare/?snr=1_7_7_230_150_4,Experience a visceral Campaign or assemble your team in the ultimate online playground with multiple Special Ops challenges and a mix of Multiplayer maps and modes.,Very Positive,Mostly Positive,- 81% of the 913 user reviews in the last 30 days are positive.,"- 77% of the 5,518 user reviews for this game are positive.","Infinity Ward, Beenox, High Moon Studios, Raven Software",Activision,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Arabic', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Spanish - Latin America', 'Traditional Chinese']","['Action', 'Shooter', 'FPS', 'Multiplayer', 'Singleplayer', 'Military', 'First-Person', 'Tactical', 'Modern', 'Gun Customization', 'Story Rich', 'PvP', 'Gore', 'Co-op', 'Violent', 'Online Co-Op', 'Battle Royale', 'Sexual Content', 'Realistic', 'Zombies']","['Single-player', 'Online PvP', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'In-App Purchases']",Requires a 64-bit processor and operating system | OS: |  Windows? 10 64-bit | Processor: |  Intel? Core? i3-4340 or AMD FX-6300 | Memory: |  8 GB RAM | Graphics: |  NVIDIA? GeForce? GTX 670 / NVIDIA? GeForce? GTX 1650 or AMD Radeon? HD 7950 | DirectX: |  Version 12 | Network: |  Broadband Internet connection | Storage: |  175 GB available space
Car Mechanic Simulator 2021,$12.49 ,$7.24 ,"11 Aug, 2021",https://store.steampowered.com/app/1190000/Car_Mechanic_Simulator_2021/?snr=1_7_7_230_150_4,Work your way to a service empire. Get your hands dirty in a highly realistic simulation game that pays major attention to details. Pay a visit to a new Auction house and buy cars in various conditions. Expand your range of services by investing in a new work space and equipment.,Overwhelmingly Positive,Overwhelmingly Positive,- 95% of the 335 user reviews in the last 30 days are positive.,"- 95% of the 19,749 user reviews for this game are positive.",Red Dot Games,PlayWay S.A.,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Simplified Chinese', 'Japanese', 'Polish', 'Portuguese - Portugal', 'Portuguese - Brazil', 'Russian', 'Korean', 'Turkish', 'Czech', 'Romanian', 'Arabic', 'Hungarian']","['Simulation', 'Automobile Sim', 'Sandbox', 'Realistic', 'Racing', 'Moddable', 'Driving', '3D', 'Education', 'Immersive Sim', 'First-Person', 'Singleplayer', 'Puzzle', 'Open World', 'Atmospheric', 'Adventure', 'Minigames', 'Indie', 'Strategy', 'Great Soundtrack']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Partial Controller Support', 'Steam Cloud', 'Stats', 'Includes level editor']",Requires a 64-bit processor and operating system | OS: |  Windows(64-bit) 8.1 / 10 | Processor: |  Intel Core i5 4690 / AMD Ryzen 5 1500X | Memory: |  8 GB RAM | Graphics: |  NVidia GeForce GTX 760 2GB | DirectX: |  Version 11 | Storage: |  35 GB available space | Additional Notes: |  GAME DOES NOT SUPPORT Intel Integrated Graphics Cards
Undawn,Free,Free,"13 Jun, 2023",https://store.steampowered.com/app/1881700/Undawn/?snr=1_7_7_230_150_4,"Explore, adapt, and survive in Undawn, a free-to-play open-world survival RPG for mobile and PC developed by LightSpeed Studios and published by Level Infinite. Embark on an adventure with other survivors four years after a worldwide disaster where hordes of infected roam a shattered world.",Mixed,Mixed,- 54% of the 541 user reviews in the last 30 days are positive.,"- 54% of the 3,798 user reviews for this game are positive.",Lightspeed Studios,Level Infinite,"['English', 'Japanese', 'Korean', 'Russian', 'Traditional Chinese', 'Turkish', 'Spanish - Spain', 'Spanish - Latin America']","['Massively Multiplayer', 'Open World', 'RPG', 'MMORPG', 'Survival', 'Post-apocalyptic', 'Adventure', 'Crafting', 'Multiplayer', 'Sandbox', 'Shooter', 'Third-Person Shooter', 'PvP', 'PvE', 'Co-op', 'Character Customization', 'Third Person', 'Zombies', 'Building', 'Free to Play']","['MMO', 'Online PvP', 'Online Co-op', 'Cross-Platform Multiplayer', 'In-App Purchases']",OS: |  Windows 7 | Processor: |  Intel? Core i5 4430 | Memory: |  4 GB RAM | Graphics: |  Nvdia GeForce GTX 660 | Network: |  Broadband Internet connection | Storage: |  20 GB available space | Sound Card: |  Windows Compatible Audio Device
Grand Theft Auto: San Andreas 每 The Definitive Edition,$59.99 ,$29.99 ,"19 Jan, 2023",https://store.steampowered.com/app/1547000/Grand_Theft_Auto_San_Andreas__The_Definitive_Edition/?snr=1_7_7_230_150_4,"Grand Theft Auto: San Andreas: It＊s the early ＊90s. After a couple of cops frame him for homicide, Carl ＆CJ＊ Johnson is forced on a journey that takes him across the entire state of San Andreas, to save his family and to take control of the streets.",Mixed,Mixed,- 67% of the 195 user reviews in the last 30 days are positive.,"- 69% of the 2,201 user reviews for this game are positive.",Rockstar Games,Rockstar Games,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Spanish - Latin America', 'Traditional Chinese']","['Action', 'Open World', 'Third-Person Shooter', 'Sexual Content', 'Adventure', 'Action-Adventure', 'Crime', 'Third Person', 'Violent', 'Singleplayer', 'Nudity', ""1990's"", 'Combat', 'Gore', 'Mature', 'Story Rich', 'Classic', 'Psychological Horror', 'Hentai']","['Single-player', 'Full controller support']",Requires a 64-bit processor and operating system | OS: |  Windows 10 | Processor: |  Intel? Core? i5-6600K / AMD FX-6300 | Memory: |  8GB GB RAM | Graphics: |  Nvidia GeForce GTX 760 2GB / AMD Radeon R9 280 3GB | Storage: |  19 GB available space | Sound Card: |  Direct X Compatible
DARK SOULS?: REMASTERED,$39.99 ,$39.99 ,"23 May, 2018",https://store.steampowered.com/app/570940/DARK_SOULS_REMASTERED/?snr=1_7_7_230_150_4,"Then, there was fire. Re-experience the critically acclaimed, genre-defining game that started it all. Beautifully remastered, return to Lordran in stunning high-definition detail running at 60fps.",Very Positive,Very Positive,"- 94% of the 1,608 user reviews in the last 30 days are positive.","- 89% of the 54,736 user reviews for this game are positive.",QLOC,"FromSoftware, Inc","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Traditional Chinese']","['Souls-like', 'Dark Fantasy', 'RPG', 'Difficult', 'Action', 'Dark', 'Fantasy', 'Atmospheric', 'Action RPG', 'Great Soundtrack', 'Lore-Rich', 'Adventure', 'Multiplayer', 'Third Person', 'Replay Value', 'Exploration', 'Story Rich', 'Character Customization', 'Soundtrack', 'Co-op']","['Single-player', 'Steam Achievements', 'Full controller support', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV']","Requires a 64-bit processor and operating system | OS: |  Windows 7 64-bit, Service Pack 1 | Processor: |  Intel Core i5-2300 2.8 GHz / AMD FX-6300, 3.5 GHz | Memory: |  6 GB RAM | Graphics: |  GeForce GTX 460, 1 GB / Radeon HD 6870, 1 GB | DirectX: |  Version 11 | Storage: |  8 GB available space | Sound Card: |  DirectX 11 sound device | Additional Notes: |  Low Settings, 60 FPS @ 1080p"
Overcooked! 2,$12.49 ,$12.49 ,"7 Aug, 2018",https://store.steampowered.com/app/728880/Overcooked_2/?snr=1_7_7_230_150_4,Overcooked returns with a brand-new helping of chaotic cooking action! Journey back to the Onion Kingdom and assemble your team of chefs in classic couch co-op or online play for up to four players. Hold onto your aprons＃ it＊s time to save the world again!,Very Positive,Very Positive,- 90% of the 744 user reviews in the last 30 days are positive.,"- 90% of the 37,191 user reviews for this game are positive.","Ghost Town Games Ltd., Team17",Team17,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Simplified Chinese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Traditional Chinese', 'Russian']","['Multiplayer', 'Online Co-Op', 'Local Co-Op', 'Co-op', 'Casual', 'Funny', 'Indie', 'Cooking', '4 Player Local', 'Action', 'Local Multiplayer', 'Family Friendly', 'Cute', 'Controller', 'Comedy', 'Singleplayer', 'Difficult', 'Simulation', 'Colorful', 'Strategy']","['Single-player', 'Online PvP', 'Shared/Split Screen PvP', 'Online Co-op', 'Shared/Split Screen Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Remote Play Together']",OS: |  WIN7-64 bit | Processor: |  Intel i3-2100 / AMD A8-5600k | Memory: |  4 GB RAM | Graphics: |  GeForce GTX 630 / Radeon HD 6570 | DirectX: |  Version 11 | Storage: |  3 GB available space
WWE 2K23,$99.99 ,$54.99 ,"16 Mar, 2023",https://store.steampowered.com/app/1942660/WWE_2K23/?snr=1_7_7_230_150_4,"WWE 2K23 is Even Stronger with expanded features, gorgeous graphics and a deep roster of WWE Superstars and Legends. 2K Showcase returns as an interactive sports documentary focusing on the 20-year career of John Cena and WarGames is finally here!",Very Positive,Very Positive,- 81% of the 307 user reviews in the last 30 days are positive.,"- 81% of the 2,274 user reviews for this game are positive.",Visual Concepts,2K,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Arabic']","['Sports', 'Simulation', 'Wrestling', 'Multiplayer', 'PvP', 'Casual', 'Local Co-Op', 'Co-op', 'Local Multiplayer', 'Singleplayer', 'Controller', '3D', '3D Fighter', '4 Player Local', 'Realistic', 'Character Customization', 'Sexual Content', 'Nudity', 'Online Co-Op', 'Psychological Horror']","['Single-player', 'Online PvP', 'Shared/Split Screen PvP', 'Online Co-op', 'Shared/Split Screen Co-op', 'Steam Achievements', 'In-App Purchases', 'Partial Controller Support', 'Steam Cloud', 'Remote Play Together']","Requires a 64-bit processor and operating system | OS: |  Windows 10 64-bit | Processor: |  Intel Core i5-3550 / AMD FX 8150 | Memory: |  8 GB RAM | Graphics: |  GeForce GTX 1060 / Radeon RX 480 | DirectX: |  Version 12 | Storage: |  80 GB available space | Sound Card: |  DirectX 9.0c compatible sound card | Additional Notes: |  SSD recommended, AVX - Compatible processor"
Gunfire Reborn,$10.49 ,$10.49 ,"17 Nov, 2021",https://store.steampowered.com/app/1217060/Gunfire_Reborn/?snr=1_7_7_230_150_4,"Gunfire Reborn is a level-based adventure game featuring FPS, Roguelite and RPG. Players can control heroes with various abilities to experience diverse Build gameplay, use various weapons to explore procedurally-generated levels. You can play the game alone, or join 4-player coop.",Very Positive,Very Positive,- 90% of the 524 user reviews in the last 30 days are positive.,"- 93% of the 76,221 user reviews for this game are positive.",Duoyi Games,Duoyi Games,"['English', 'Simplified Chinese', 'Traditional Chinese', 'Spanish - Latin America', 'Spanish - Spain', 'German', 'Russian', 'Japanese', 'Portuguese - Portugal', 'Portuguese - Brazil', 'Thai', 'Vietnamese', 'Korean', 'French', 'Italian', 'Turkish', 'Polish', 'Indonesian']","['Roguelite', 'FPS', 'Online Co-Op', 'Co-op', 'Roguelike', 'Multiplayer', 'Looter Shooter', 'Indie', 'Action', 'Adventure', 'RPG', 'Shooter', 'Action Roguelike', 'First-Person', 'Dungeon Crawler', 'Replay Value', 'Early Access', 'Singleplayer', 'Fast-Paced', 'Loot']","['Single-player', 'Online Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet']",Requires a 64-bit processor and operating system | OS: |  Windows 7 | Processor: |  Intel Core i5-6400 / AMD FX-8320 | Memory: |  4 GB RAM | Graphics: |  GTX 960 / R9 280 | DirectX: |  Version 11 | Network: |  Broadband Internet connection | Storage: |  4 GB available space
ULTRAKILL,$12.49 ,$12.49 ,"3 Sep, 2020",https://store.steampowered.com/app/1229490/ULTRAKILL/?snr=1_7_7_230_150_4,ULTRAKILL is a fast-paced ultraviolent retro FPS combining the skill-based style scoring from character action games with unadulterated carnage inspired by the best shooters of the '90s. Rip apart your foes with varied destructive weapons and shower in their blood to regain your health.,Overwhelmingly Positive,Overwhelmingly Positive,"- 97% of the 3,379 user reviews in the last 30 days are positive.","- 98% of the 65,943 user reviews for this game are positive.",Arsi "Hakita" Patala,New Blood Interactive,['English'],"['Early Access', 'FPS', 'Arena Shooter', 'Spectacle fighter', 'Character Action Game', 'Fast-Paced', 'Blood', 'Retro', 'Singleplayer', 'Shooter', 'First-Person', 'Difficult', 'Action', 'Old School', 'Robots', '3D', 'Silent Protagonist', 'Stylized', 'Sci-fi', 'Cyberpunk']","['Single-player', 'Full controller support', 'Steam Cloud']",Requires a 64-bit processor and operating system | OS: |  Windows 7 64-bit or later | Processor: |  2.4GHZ Dual Core Processor Or Higher | Memory: |  2 GB RAM | Graphics: |  GeForce 9800GT Or Equivalent | DirectX: |  Version 9.0 | Storage: |  2 GB available space | Sound Card: |  One that can handle extreme loudness.
Assassin's Creed Valhalla,$32.99 ,$32.99 ,"6 Dec, 2022",https://store.steampowered.com/app/2208920/Assassins_Creed_Valhalla/?snr=1_7_7_230_150_4,"Become a legendary Viking on a quest for glory. Raid your enemies, grow your settlement, and build your political power.",Mixed,Mixed,"- 65% of the 1,163 user reviews in the last 30 days are positive.","- 67% of the 11,193 user reviews for this game are positive.",Ubisoft Montreal,Ubisoft,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Arabic', 'Simplified Chinese', 'Traditional Chinese', 'Korean', 'Spanish - Latin America', 'Japanese', 'Polish', 'Portuguese - Brazil', 'Russian']","['Action', 'Open World', 'RPG', 'Adventure', 'Sexual Content', 'Singleplayer', 'Vikings', 'Action-Adventure', 'Third Person', 'Nudity', 'Action RPG', 'Violent', 'Multiplayer', 'Gore', 'Stealth', 'Assassin', 'Historical', 'Story Rich', 'Female Protagonist', 'Atmospheric']","['Single-player', 'Captions available', 'In-App Purchases', 'Partial Controller Support']",Requires a 64-bit processor and operating system | OS: |  Windows 10 (versions 64 bits uniquement) | Processor: |  AMD Ryzen 3 1200 3.1 GHz / Intel Core i5-4460 3.2 GHz | Memory: |  8 GB RAM | Graphics: |  AMD R9 380 /NVIDIA GeForce GTX 960 | DirectX: |  Version 12 | Storage: |  160 GB available space
Tabletop Simulator,$12.59 ,$12.59 ,"5 Jun, 2015",https://store.steampowered.com/app/286160/Tabletop_Simulator/?snr=1_7_7_230_150_4,"Tabletop Simulator is the only simulator where you can let your aggression out by flipping the table! There are no rules to follow: just you, a physics sandbox, and your friends. Make your own online board games or play the thousands of community created mods. Unlimited gaming possibilities!",Very Positive,Overwhelmingly Positive,"- 94% of the 339 user reviews in the last 30 days are positive.This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score.","- 96% of the 35,976 user reviews for this game are positive.This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score.",Berserk Games,Berserk Games,['English'],"['Tabletop', 'Board Game', 'Simulation', 'Multiplayer', 'Sandbox', 'Card Game', 'Trading Card Game', 'VR', 'Physics', 'Casual', 'Moddable', '3D', 'Strategy', 'Wargame', 'Online Co-Op', 'Co-op', 'RPG', 'Funny', 'First-Person', 'Indie']","['Single-player', 'Online PvP', 'Shared/Split Screen PvP', 'Online Co-op', 'Shared/Split Screen Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Tracked Controller Support', 'VR Supported', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Includes level editor', 'Remote Play Together']",OS: |  Windows 7 SP1+ | Processor: |  SSE2 instruction set support. | Memory: |  4 GB RAM | Graphics: |  Graphics card with DX10 (shader model 4.0) capabilities. | DirectX: |  Version 10 | Network: |  Broadband Internet connection | Storage: |  3 GB available space | VR Support: |  SteamVR
Halo Infinite,Free,Free,"15 Nov, 2021",https://store.steampowered.com/app/1240440/Halo_Infinite/?snr=1_7_7_230_150_4,The legendary Halo series returns with the most expansive Master Chief campaign yet and a ground-breaking free to play multiplayer experience.,Mixed,Mostly Positive,"- 59% of the 1,329 user reviews in the last 30 days are positive.This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score.","- 70% of the 160,647 user reviews for this game are positive.This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score.",343 Industries,Xbox Game Studios,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Dutch', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Spanish - Latin America', 'Traditional Chinese', 'Danish', 'Finnish', 'Norwegian', 'Portuguese - Portugal']","['Free to Play', 'FPS', 'Multiplayer', 'Singleplayer', 'Shooter', 'Action', 'First-Person', 'Sci-fi', 'Open World', 'Co-op', 'Competitive', 'PvP', 'Space', 'Story Rich', 'Adventure', 'Aliens', 'Lore-Rich', 'Atmospheric', 'Cinematic', 'Soundtrack']","['Online PvP', 'LAN PvP', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'In-App Purchases', 'Steam Cloud', 'Remote Play on TV']",Requires a 64-bit processor and operating system | OS: |  Windows 10 RS5 x64 | Processor: |  AMD Ryzen 5 1600 or Intel i5-4440 | Memory: |  8 GB RAM | Graphics: |  AMD RX 570 or Nvidia GTX 1050 Ti | DirectX: |  Version 12 | Storage: |  50 GB available space
